key_title,key_rdate,key_cont
"""Fed 긴축의지 재확인…고배당·유틸리티 ETF 주목""-하나",2022.08.30 08:47,"잭슨홀 미팅으로 미국 중앙은행(Fed)의 강경한 긴축 의지가 재확인된 가운데, 상장지수펀드(ETF) 종목 선별 시에도 방어적인 성향을 띠는 고배당과 필수..."
채권에 몰린 개미 투심…KB증권 8개월 만에 리테일 채권 판매액 10조원 넘겨,2022.08.29 15:19,KB증권은 올해 리테일 채권 판매액이 10조원을 돌파했다고 29일 밝혔다. 채권금리가 단기간 급격히 상승하면서 채권 매수세가 몰렸다는 설명이다. KB증권...
현대로템 4조원대 K2 수주…급락장 딛고 2%대 반등,2022.08.29 09:25,현대로템이 K2 전차 수출 소식에 급락장에도 2%대 반등을 시도하고 있다. 29일 오전 9시 23분 현재 유가증권시장에서 현대로템은 전 거래일보다 2.4...
우리·신한은행 '이상 해외 송금' 4조5천여억원서 더 늘었다,2022.08.28 06:07,"우리·신한, 검사 외 자율 점검서 추가 발견 하나은행 검사 확대…기존 수시 검사에 외환까지 추가 5월 제재받은 하나은행 정릉지점 건은 명백한 '프리미엄 ..."
(마감)코스피 기관 1005억 매수 우위,2022.08.26 15:36,한경닷컴
"현대로템, 본계약 체결 기대감에 장중 52주 신고가",2022.08.26 09:28,현대로템이 장초반 상승해 52주 신고가를 경신했다. 26일 오전 9시 27분 현재 현대로템은 전일 대비 650원(2.09%) 오른 3만1800원에 거래되...
"원·달러 환율, 기준금리 인상에 진정세…1335원에 장 마감",2022.08.25 16:58,한국은행 금융통화위원회(금통위)가 기준 금리를 인상하면서 원·달러 환율이 하락세를 보였다. 25일 연합뉴스 보도에 따르면 서울 외환시장 내 원·달러 환율...
 초고수들 25일 오전 원전·방산주에 집중 베팅했다,2022.08.25 11:00,고수들의 포트폴리오 투자수익률 상위 1%의 주식 초고수들이 25일 오전 원전 관련주와 방산주를 대거 사들이고 있다. 미래에셋엠클럽에 따르면 미래에셋증권 계좌로 주식을 거래하는 수익...
"""美 IRA 법안 수혜""…포스코케미칼 강세",2022.08.25 09:19,"포스코케미칼이 목표가 상향 소식에 장 초반 강세다. 25일 오전 9시 9분 현재 포스코케미칼은 전 거래일 보다 2,000원(+1.20%) 오른 16만8,..."
"유럽 중앙은행 ""디지털 유로 관련 조사, 내년 10월 마무리""",2022.08.24 15:48,유럽 중앙은행(ECB)이 디지털 유로화 관련 조사가 2023년 10월 경 마무리 될 것으로 보인다고 밝혔다. 24일(현지시간) 로이터통신 보도에 따르면 ...
"""올해 사상 최대실적 전망""…씨앤지하이테크, 장 초반 강세",2022.08.24 09:54,문형민기자 mhm94@wowtv.co.kr
"""LG이노텍, 하반기 실적도 기대된다""-DB",2022.08.24 07:59,DB금융투자는 24일 LG이노텍의 하반기 실적이 기대된다며 목표주가 45만원과 투자의견 '매수'를 유지했다. DB투자증권은 올 3분기 LG...
천장 뚫린 환율에 항공업계 '비명'…수출기업 환율효과도 '옛말',2022.08.23 11:07,"원/달러 환율 1,340원대 돌파…항공업계 외화부채 상환 부담 눈덩이 수입비중 큰 철강업계 등 타격…수출 경쟁국의 환율도 하락해..."
다시 무너진 '6만전자'...美기술주 하락 '후폭풍',2022.08.23 09:19,삼성전자와 SK하이닉스가 간밤 뉴욕증시의 약세 영향에 하락 출발하고 있다. 23일 오전 9시9분 현재 삼성전자는 전 거래일 보다 600원(-1.00%) ...
"'폭주' 환율, 1,330원 이어 1,340원까지 돌파…13년 4개월만(종합2보)",2022.08.22 15:56,"13.9원 오른 1,339.8원 마감…미국 긴축 지속·중국 위안화 약세 영향 22일 원/달러 환율이 장중 1,330원과 1,340원선을 연이어 돌파하며 ..."
"사료株, 곡물가 강세 전망에 '함박웃음'…고려산업 6%대 ↑",2022.08.22 10:06,사료 관련주가 강세를 보이고 있다. 3분기에도 곡물가격이 오를 것이란 전망이 나오면서다. 22일 오전 10시 3분 현재 고려산업은 전거래일 대비 390원...
"""대한해운, 벌크선 시황 악화에도 이익 견조할 것""-흥국",2022.08.22 08:27,"흥국증권은 22일 대한해운에 대해 투자의견 '매수'와 목표주가 3500원을 유지했다. 부동산 경기 정체로 벌크선 시황이 나빠지고 있지만, ..."
가상자산 친화도 1위는 미국·독일…한국은 29위,2022.08.20 13:22,미국과 독일이 가상자산(암호화폐)에 가장 친화적인 국가로 꼽힌 가운데 한국은 29위를 기록해 지난 1분기에 비해 순위가 8계단이나 하락한 것으로 나타났다...
"금융위 ""4분기 내 M&A시 소액주주 보호 방안 발표""",2022.08.19 12:17,"금융위원회가 올해 4분기 안에 상장사 M&A(인수합병)시 소액주주 등 일반투자자 보호 방안을 발표할 예정이라고 19일 밝혔다. 금융위는 이와 관련 ""주식..."
"""예상보다 더딘 회복에 유상증자설까지""…제주항공 약세",2022.08.19 09:25,"제주항공이 수요 회복이 더디다는 분석에 장 초반 약세다. 19일 오전 9시 11분 기준 제주항공은 전 거래일 보다 400원(-2.42%) 내린 1만6,1..."
'간편송금 금지' 검토에 카카오페이 주가 '와르르',2022.08.18 16:32,카카오페이가 법적으로 간편 송금을 금지하는 방안을 당국이 검토한다는 보도에 18일 큰 폭으로 내렸다. 이날 유가증권시장에서 카카오페이는 전 거래일보다 6...
"아가방컴퍼니, 서울시 초대형 양육지원 종합계획에 '上'",2022.08.18 10:34,서울시가 15조원을 투입해 '아이 키우기 좋은 서울'을 만들겠다는 구상을 밝히면서 아가방컴퍼니 주가가 상한가를 기록했다. 18일 오전 10...
"코스피, 간밤 美 증시 여파에 장중 2500선 '붕괴'…코스닥도 ↓",2022.08.18 09:05,코스피가 간밤 미국 증시 하락에 5거래일 만에 장중 2500선 아래로 내려갔다. 18일 오전 9시12분 기준 코스피지수는 전 거래일보다 23.78포인트(...
(마감)코스피 기관 2010억 매도 우위,2022.08.17 15:37,한경닷컴
"""美 증시 눈치보기""…국내증시 혼조 출발",2022.08.17 09:35,국내 증시가 미국 증시 눈치를 보며 혼조세로 출발했다. 간밤 다우 지수는 주요 기업들 호실적에 힘입어 5거래일 내리 상승 마감했다. 미국 소매 업체들의 ...
하나·모두투어 상반기 영업익 소폭 개선…노랑풍선은 적자↑,2022.08.16 18:56,"하나투어·모두투어 ""여행흐름 회복됐으나 마케팅 비용 증가했다"" 복직률 80% 달한 노랑풍선, 인건비에 발목 올해 상반기 기준 하나투어와 모두투어는 영업이..."
(마감)프로그램 1355억 매도 우위,2022.08.16 15:36,한경닷컴
국제 유가 하락에 항공株 동반 강세…진에어 9.6%↑,2022.08.16 10:13,간밤 국제 유가가 하락하면서 국내 항공주가 동반 강세를 나타내고 있다. 16일 오전 10시7분 현재 진에어는 전 거래일 대비 1450원(9.6%) 오른 ...
" 원/달러 환율 9.6원 오른 1,312.0원(개장)",2022.08.16 09:00,/연합뉴스
"이상 해외송금, 7조원보다 많다…검찰은 가상자산 '환치기' 의심",2022.08.14 09:48,국내 은행을 통해 해외로 송금된 '이상 해외송금'의 액수가 당초 예상을 초과해 총 7조원을 넘는 것으로 알려져 파문이 커지고 있다. 검찰 측은 국내 가상...
"목표가 코앞인 LG엔솔…""더 오른다"" vs ""고점""",2022.08.12 17:29,국내 시가총액 2위 LG에너지솔루션 주가가 한 달여간 30%가량 급등하며 증권사들이 제시한 목표 주가에 근접했다. 증권가에선 LG에너지솔루션 주가가 더 질주할 것이란 전망과 고점에...
"코오롱티슈진, 390억원 유상증자",2022.08.12 15:16,코오롱티슈진은 운영자금 등 약 390억원을 조달하고자 제3자배정 유상증자를 결정했다고 12일 공시했다. 신주 79만4천주(보통주)가 발행된다. 제3자배정 대상자는 ㈜코오롱(최대주주...
"SK증권, 디지털자산 수탁 기업 '인피닛블록' 지분 투자",2022.08.12 10:39,SK증권은 DGB대구은행과 디지털자산 수탁 회사인 인피닛블록(Infinite Block)에 대한 지분투자를 완료했다고 12일 밝혔다. 이번 투자로 SK증...
"국내증시, 차익실현 물량 나오며 혼조 출발",2022.08.12 09:17,국내 증시가 전날 상승에 대한 차익 실현 움직임에 혼조세로 출발했다. 간밤 미국 증시는 7월 생산자물가지수(PPI) 둔화에도 불구하고 미중 갈등 여파에 ...
"美 7월 PPI, 전년 比 9.8%↑…""시장 예상치 대폭 하회""",2022.08.11 21:37,미국 생산자물가지수(PPI)가 전년 대비 9.8% 상승한 것으로 나타났다. 시장 예상치를 대폭 하회했다. 11일(현지시간) 미국 노동청 자료에 따르면 미...
"코스피, 인플레 피크아웃 기대감에 상승 마감…2500선 재탈환",2022.08.11 16:01,인플레이션 피크아웃에 대한 기대감 확대에 코스피 지수가 1% 넘게 오르며 2500선을 다시 탈환했다. 11일 코스피지수는 전 거래일 대비 42.90포인트...
"'자본잠식' 형지I&C, 3 대 1 무상감자 소식에…주가 17% 급락",2022.08.11 14:31,의류브랜드 '예작(YEZAC)' 등을 운영하고 있는 기업 형지I&C 주가가 급락했다. 자본잠식 상태를 해소하기 위해 3 대 1 무상감자를 단행한다고 밝히면서다. 11...
"한국투자증권 인도네시아 현지법인, 현지 기업 공모채권 발행주관",2022.08.11 10:06,한국투자증권은 인도네시아 현지법인 KIS인도네시아가 KB FMF(KB Finansia Multi Finance)의 루피아화 표시 공모채권 발행 주관을 완...
컴투스 2분기 영업이익 38억원…작년 동기 대비 65.6%↓(종합),2022.08.11 09:22,시장 전망치 46.4% 하회…분기 매출은 역대 최대 코스닥 상장사 컴투스는 연결 기준 2분기 영업이익이 38억원으로 지난해 동기보다 65.6% 감소한 것...
"美 CPI, 연 8.5% 상승…시장 예상치 하회",2022.08.10 21:41,"미국 소비자물가지수(CPI)가 상승세를 멈췄다. 지난 6월에는 전월 대비 1.3% 상승 했지만, 7월에는 상승을 멈춘 것으로 나타났다. 연 기준으로는 8..."
휴젤 2분기 영업이익 223억원…작년 동기 대비 16.1%↓,2022.08.10 15:31,코스닥 상장사 휴젤은 연결 기준 올해 2분기 영업이익이 223억원으로 지난해 동기보다 16.1% 감소한 것으로 잠정 집계됐다고 10일 공시했다. 매출은 674억원으로 작년 동기 대...
KT 2분기 영업이익 4천592억원…작년 동기 대비 3.5%↓,2022.08.10 11:14,코스피 상장사 KT는 연결 기준 올해 2분기 영업이익이 4천592억원으로 지난해 동기보다 3.5% 감소한 것으로 잠정 집계됐다고 10일 공시했다. 매출은 6조3천122억원으로 작년...
"코스피, 외국인 '팔자'에 하락…다시 2500선 아래로",2022.08.10 09:17,코스피가 외국인의 '팔자'에 장 초반 하락하고 있다. 전날 올라섰던 2500선 고지에서 다시 미끄러졌다. 10일 오전 9시12분 기준 코스...
"SKT 2분기 영업익 작년比 16%↑…""유무선 등 5대사업 성장""(종합2보)",2022.08.09 16:50,"매출 4%↑, 4.3조원…""5G 1천168만명→연말 1천300만 가능"" SK텔레콤은 연결 기준 올해 2분기 영업이익이 4천596억원으로 지난해 동기보다 ..."
"삼화페인트, 2분기 '깜짝 실적' 덕에 주가 급등",2022.08.09 14:38,삼화페인트가 2분기 '어닝 서프라이즈(깜짝 실적)'를 달성했다는 소식에 주가가 급등하고 있다. 9일 오후 2시37분 기준 삼화페인트는 전 ...
"""우리도 블록체인 게임 만든다""…카카오게임즈 상승세",2022.08.09 09:41,"카카오게임즈가 블록체인 게임 출시 기대감에 주가가 장 초반 강세를 보이고 있다. 9일 오전 9시 27분 카카오게임즈는 전 거래일 대비 1,300원(2.2..."
"""中스마트폰 업체 몰아내기 나선 인도…반도체 수요 영향은""-상상인",2022.08.09 08:35,인도가 중국 스마트폰 업체 몰아내기에 나선 가운데 장기적으로 우리 반도체 수요에도 영향이 있을 수 있다는 의견이 제기됐다. 앞서 이날 블룸버그는 인도가 ...
"인바이오젠, 3백억원 유상증자…스칸1호조합에 제3자배정",2022.08.08 17:03,코스피 상장사 인바이오젠은 타법인증권취득자금 등 약 300억원을 조달하고자 제3자배정 유상증자를 결정했다고 8일 공시했다. 주당 1천880원에 신주 1천595만7천447주(기타주)...
"보라(BORA), 폴리곤(MATIC)과 협약…""크로스체인 환경 구축""",2022.08.08 14:58,블록체인 기반 콘텐츠 플랫폼 운영사인 보라네트워크(BORA)가 이더리움 확장 플랫폼인 폴리곤(MATIC)과 협약한다고 8일 밝혔다. 보라네트워크는 이날 ...
SKC 2분기 영업이익 1천94억원…작년 동기 대비 19%↓,2022.08.08 10:14,코스피 상장사 SKC는 연결 기준 올해 2분기 영업이익이 1천94억원으로 지난해 동기보다 19% 감소한 것으로 잠정 집계됐다고 8일 공시했다. 매출은 1조768억원으로 작년 동기 ...
" 원/달러 환율 6.7원 오른 1,305.0원(개장)",2022.08.08 09:00,/연합뉴스
" 원/달러 환율 6.7원 오른 1,305.0원(개장)",2022.08.08 09:00,/연합뉴스
"셀트리온, 올 상반기 매출 1조원 첫 돌파(종합)",2022.08.05 16:18,셀트리온 2분기 영업이익 1천990억원…작년 동기 대비 21.3%↑ 셀트리온이 올해 상반기 창사 이래 처음으로 반기 매출 1조원을 돌파했다. 셀트리온은 ...
"금호석유화학, 2분기 영업익 3540억…전년比 53%↓[주목 e공시]",2022.08.05 14:36,금호석유화학은 2분기 연결 기준 영업이익이 전년 동기 대비 53% 감소한 3540억원으로 잠정집계됐다고 5일 공시했다. 같은 기간 매출은 2조2439억원...
